iter	Logloss
0	0.6659102085
1	0.6409140382
2	0.6169408322
3	0.5990356263
4	0.5768736227
5	0.5579005796
6	0.5366486534
7	0.5181671397
8	0.5008001154
9	0.4879222236
10	0.4752376099
11	0.461787955
12	0.447987346
13	0.4337628752
14	0.4224702358
15	0.4118468939
16	0.4013784286
17	0.3882076283
18	0.3764012763
19	0.3667462898
20	0.3574190163
21	0.3497879148
22	0.3407241591
23	0.3321749629
24	0.3242154003
25	0.3179019184
26	0.3118630759
27	0.3041566933
28	0.2989326503
29	0.2924613999
30	0.2866581801
31	0.2819337022
32	0.2763129832
33	0.2716504524
34	0.265997264
35	0.2608583718
36	0.2553797505
37	0.2517725077
38	0.2481233141
39	0.2449107394
40	0.2412489847
41	0.2370870622
42	0.2342443664
43	0.2305648659
44	0.2277393621
45	0.2249356688
46	0.2212438176
47	0.2187115725
48	0.2166739074
49	0.213737956
50	0.2105799792
51	0.2089478711
52	0.2072147369
53	0.2055970925
54	0.2034950281
55	0.2008885265
56	0.1995642597
57	0.1974484257
58	0.1953818168
59	0.1933330032
60	0.1917376803
61	0.1906994377
62	0.1887829684
63	0.1868808099
64	0.1852406838
65	0.1837775638
66	0.1826503216
67	0.181513048
68	0.1797629687
69	0.1785457903
70	0.1770844804
71	0.1759460476
72	0.1748168401
73	0.1733760129
74	0.1718360287
75	0.170843825
76	0.1693745573
77	0.1682672995
78	0.1671123516
79	0.1658322002
80	0.1648668708
81	0.1642488831
82	0.1631704741
83	0.1623324323
84	0.1615901799
85	0.1607034186
86	0.160332092
87	0.1594583858
88	0.1587926785
89	0.1578896791
90	0.1570200249
91	0.1564605587
92	0.1556566589
93	0.1550482876
94	0.1543993309
95	0.1539055234
96	0.1533939996
97	0.1528470445
98	0.1522427937
99	0.1517343737
100	0.151172749
101	0.1509495626
102	0.1506122027
103	0.1498052918
104	0.1492828901
105	0.1485146389
106	0.1481676054
107	0.1476670107
108	0.147160619
109	0.1467754884
110	0.1463162959
111	0.145867165
112	0.1454241943
113	0.144906049
114	0.1443607042
115	0.1439196618
116	0.1435522184
117	0.1431489291
118	0.1426886588
119	0.1424131078
120	0.1418565359
121	0.1415385641
122	0.1411128548
123	0.1407193362
124	0.1403534978
125	0.1399962898
126	0.1395234751
127	0.1390451007
128	0.1387962852
129	0.1384115017
130	0.1381536109
131	0.137954753
132	0.1375510715
133	0.1372336419
134	0.1368993664
135	0.1365411662
136	0.1362116876
137	0.135914851
138	0.1357764946
139	0.1354459876
140	0.1351315013
141	0.1349666175
142	0.1347288087
143	0.1345030268
144	0.1343679268
145	0.1341653992
146	0.1338802863
147	0.1336317598
148	0.1331936232
149	0.1327490422
150	0.1324467492
151	0.1321140626
152	0.1318346397
153	0.1315538448
154	0.1312924545
155	0.1310118868
156	0.1306276355
157	0.1304609346
158	0.1303317633
159	0.130065345
